A Christmas Carol,2009,5,Gary Oldman,Tiny Tim, Bob Cratchit, Marley,Jim Carrey,Ebenezer Scrooge, Ghost of Christmas Past, Ghost of Christmas Present, Ghost of Christmas Yet To Come,Steve Valentine,Funerary Undertaker and Topper,Daryl Sabara,Undertaker's Apprentice and Tattered Caroler and Beggar Boy and Peter Cratchit and Well-Dressed Caroler,Sage Ryan,Tattered Caroler
Jupiter Ascending,2015,5,Mila Kunis,Jupiter Jones,Channing Tatum,Caine Wise,Sean Bean,Stinger Apini,Eddie Redmayne,Balem Abrasax,Douglas Booth,Titus Abrasax
The Legend of Tarzan,2016,5,Alexander Skarsgård,John Clayton and Tarzan,Margot Robbie,Jane Porter,Christoph Waltz,Captain Leon Rom,Samuel L. Jackson,George Washington Williams,Djimon Hounsou,Chief Mbonga
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,5,William Moseley,Peter Pevensie,Anna Popplewell,Susan Pevensie,Skandar Keynes,Edmund Pevensie,Georgie Henley,Lucy Pevensie,Liam Neeson,Aslan (voice)
X-Men: Apocalypse,2016,5,James McAvoy,Professor Charles Xavier,Michael Fassbender,Erik Lehnsherr and Magneto,Jennifer Lawrence,Raven Darkholme and Mystique,Nicholas Hoult,Hank McCoy and Beast,Oscar Isaac,En Sabah Nur and Apocalypse
The Dark Knight,2008,5,Christian Bale,Bruce Wayne,Heath Ledger,Joker,Aaron Eckhart,Harvey Dent,Michael Caine,Alfred,Maggie Gyllenhaal,Rachel
Up,2009,5,Ed Asner,Carl Fredricksen (voice),Christopher Plummer,Charles Muntz (voice),Jordan Nagai,Russell (voice),Bob Peterson,Dug and Alpha (voice),Delroy Lindo,Beta (voice)
Monsters vs Aliens,2009,5,Seth Rogen,B.O.B. (voice),Reese Witherspoon,Susan Murphy and Ginormica (voice),Hugh Laurie,Dr. Cockroach Ph.D. (voice),Paul Rudd,Derek Dietl (voice),Kiefer Sutherland,General W.R. Monger (voice)
Iron Man,2008,5,Robert Downey Jr.,Tony Stark and Iron Man,Terrence Howard,Lt. Col. James "Rhodey" Rhodes and War Machine,Jeff Bridges,Obadiah Stane and Iron Monger,Shaun Toub,Yinsen,Gwyneth Paltrow,Virginia "Pepper" Potts
Hugo,2011,5,Ben Kingsley,Georges Méliès,Sacha Baron Cohen,The Station Inspector,Asa Butterfield,Hugo Cabret,Chloë Grace Moretz,Isabelle,Ray Winstone,Uncle Claude
